school_year,division_number,division_name,behavior_category_code,behavior_category,behavior_code,behavior,number_of_events,region_name,region_number,GEOID
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,3,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,19,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,59,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",11,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",40,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",2,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",3,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),1,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,1,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,4,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,3,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",48,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,2,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,8,Western Virginia,6,51690
2022-2023,116,Martinsville City,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,2,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,15,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,9,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,25,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,1,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",2,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",18,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",1,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",1,Western Virginia,6,51690
2022-2023,116,Martinsville City,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",5,Western Virginia,6,51690
2022-2023,304,Massanutten Technical Center,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",3,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",8,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,3,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,1,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",3,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,1,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,4,NA,NA,NA
2022-2023,304,Massanutten Technical Center,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,2,NA,NA,NA
2022-2023,304,Massanutten Technical Center,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",3,NA,NA,NA
2022-2023,304,Massanutten Technical Center,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),4,NA,NA,NA
2022-2023,304,Massanutten Technical Center,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,1,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,2,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",6,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,2,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,2,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",1,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",3,NA,NA,NA
2022-2023,304,Massanutten Technical Center,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,2,NA,NA,NA
2022-2023,304,Massanutten Technical Center,PD,Behaviors to Determine Persistently Dangerous Schools,PD12,Illegal Possession of Rifle or Shotgun,1,NA,NA,NA
2022-2023,57,Mathews County,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",20,Northern Neck,3,51115
2022-2023,57,Mathews County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,3,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,5,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,8,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,2,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,12,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",3,Northern Neck,3,51115
2022-2023,57,Mathews County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",12,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,7,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,26,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",7,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",16,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",3,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",4,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,3,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",7,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",1,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),8,Northern Neck,3,51115
2022-2023,57,Mathews County,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,5,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",18,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",9,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,4,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,5,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,9,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,3,Northern Neck,3,51115
2022-2023,57,Mathews County,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",5,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",9,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",4,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,2,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",1,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,3,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,17,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,1,Northern Neck,3,51115
2022-2023,57,Mathews County,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",2,Northern Neck,3,51115
2022-2023,58,Mecklenburg County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",323,Southside,8,51117
2022-2023,58,Mecklenburg County,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,71,Southside,8,51117
2022-2023,58,Mecklenburg County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",23,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",3,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,413,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",14,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,102,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",34,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,15,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,17,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,9,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,38,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",296,Southside,8,51117
2022-2023,58,Mecklenburg County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,158,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",11,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",20,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",295,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",2,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,138,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,69,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",3,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,12,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),10,Southside,8,51117
2022-2023,58,Mecklenburg County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",1,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,19,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",8,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),2,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,6,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",5,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",48,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",15,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,136,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,157,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,10,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,39,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,156,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,1,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,19,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",93,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",3,Southside,8,51117
2022-2023,58,Mecklenburg County,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,6,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,6,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,8,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,5,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",3,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",4,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,7,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,1,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",20,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",24,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO17,Bomb threat - Making a bomb threat,1,Southside,8,51117
2022-2023,58,Mecklenburg County,BESO,Behaviors that Endanger Self or Others,BESO18,"A crime in the community where the student was charged with an offense relating to the Commonwealth's laws, which is not covered by any other behavior code, but required to be disclosed to the superintendent of the school division pursuant to ¿ 16.1-260(G)",2,Southside,8,51117
2022-2023,58,Mecklenburg County,PD,Behaviors to Determine Persistently Dangerous Schools,PD16,Illegal Possession of Controlled Drugs and Substances with Intent to Distribute or Sell,1,Southside,8,51117
2022-2023,59,Middlesex County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",151,Northern Neck,3,51119
2022-2023,59,Middlesex County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",19,Northern Neck,3,51119
2022-2023,59,Middlesex County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",13,Northern Neck,3,51119
2022-2023,59,Middlesex County,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,71,Northern Neck,3,51119
2022-2023,59,Middlesex County,BAP,Behaviors that Impede Academic Progress,BAP5,Unexcused tardiness to school,2,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,29,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,18,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",5,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,46,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,1,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,5,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,12,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",6,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,1,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",4,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,79,Northern Neck,3,51119
2022-2023,59,Middlesex County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",9,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,16,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),3,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",4,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",6,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,14,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",64,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",15,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",87,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",32,Northern Neck,3,51119
2022-2023,59,Middlesex County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,5,Northern Neck,3,51119
